Region,IncomeGroup,SpecialNotes,Country
Europe & Central Asia,High income,,Poland
,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",Pre-demographic dividend
Latin America & Caribbean,High income,Fiscal year end: June 30; reporting period for national accounts data: FY.,Puerto Rico
East Asia & Pacific,Low income,,"Korea, Dem. People's Rep."
Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Portugal
Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Paraguay
Middle East & North Africa,Upper middle income,National accounts data are provided in the US dollar.,West Bank and Gaza
,,Pacific island small states aggregate.,Pacific island small states
,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,Post-demographic dividend
East Asia & Pacific,High income,,French Polynesia
Middle East & North Africa,High income,,Qatar
Europe & Central Asia,High income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Romania
Europe & Central Asia,Upper middle income,,Russian Federation
Sub-Saharan Africa,Low income,,Rwanda
,,,South Asia
Middle East & North Africa,High income,,Saudi Arabia
Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sudan
Sub-Saharan Africa,Lower middle income,,Senegal
East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Singapore
East Asia & Pacific,Lower middle income,,Solomon Islands
Sub-Saharan Africa,Low income,,Sierra Leone
Latin America & Caribbean,Upper middle income,,El Salvador
Europe & Central Asia,High income,,San Marino
Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Somalia
Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.",Serbia
,,,Sub-Saharan Africa (excluding high income)
Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Sudan
,,Sub-Saharan Africa regional aggregate (includes all income levels).,Sub-Saharan Africa
,,Small states (members of the Small States Forum) aggregate.,Small states
Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD),São Tomé and Principe
Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1989-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Suriname
Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Slovak Republic
Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Slovenia
Europe & Central Asia,High income,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sweden
Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,Eswatini
Latin America & Caribbean,High income,,Sint Maarten (Dutch part)
Sub-Saharan Africa,High income,,Seychelles
Middle East & North Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Syrian Arab Republic
Latin America & Caribbean,High income,,Turks and Caicos Islands
Sub-Saharan Africa,Low income,,Chad
,,East Asia & Pacific (IDA & IBRD countries) aggregate.,East Asia & Pacific (IDA & IBRD)
,,Europe & Central Asia (IDA & IBRD countries) aggregate.,Europe & Central Asia (IDA & IBRD)
Sub-Saharan Africa,Low income,,Togo
East Asia & Pacific,Upper middle income,Fiscal year end: September 30; reporting period for national accounts data: CY.,Thailand
Europe & Central Asia,Lower middle income,,Tajikistan
Europe & Central Asia,Upper middle income,,Turkmenistan
,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,Latin America & Caribbean (IDA & IBRD)
East Asia & Pacific,Lower middle income,,Timor-Leste
,,Middle East & North Africa (IDA & IBRD countries) aggregate.,Middle East & North Africa (IDA & IBRD)
East Asia & Pacific,Upper middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Tonga
,,South Asia (IDA & IBRD countries) aggregate.,South Asia (IDA & IBRD)
,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.,Sub-Saharan Africa (IDA & IBRD)
Latin America & Caribbean,High income,,Trinidad and Tobago
Middle East & North Africa,Lower middle income,,Tunisia
Europe & Central Asia,Upper middle income,,Türkiye
East Asia & Pacific,Upper middle income,,Tuvalu
Sub-Saharan Africa,Lower middle income,,Tanzania
Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Uganda
Europe & Central Asia,Lower middle income,,Ukraine
,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2022 GNI per capita was between $4,466 and $13,845.",Upper middle income
Latin America & Caribbean,High income,,Uruguay
North America,High income,,United States
Europe & Central Asia,Lower middle income,,Uzbekistan
Latin America & Caribbean,Upper middle income,,St. Vincent and the Grenadines
Latin America & Caribbean,,,"Venezuela, RB"
Latin America & Caribbean,High income,,British Virgin Islands
Latin America & Caribbean,High income,,Virgin Islands (U.S.)
East Asia & Pacific,Lower middle income,,Viet Nam
East Asia & Pacific,Lower middle income,,Vanuatu
,,,World
East Asia & Pacific,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Samoa
Europe & Central Asia,Upper middle income,,Kosovo
Middle East & North Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Yemen, Rep."
Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,South Africa
Sub-Saharan Africa,Lower middle income,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",Zambia
Sub-Saharan Africa,Lower middle income,"National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Zimbabwe
